service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4503603929111854,0,0,0,0,0,1,0,20200328,20200328
4503603929112901,1,1,1,1,1,0,0,20200327,20200417
4503603929112954,1,1,1,1,1,1,0,20200327,20200417
4503603929114033,0,0,0,0,1,0,0,20200327,20200327
4503603929115187,1,1,1,1,1,1,0,20200328,20200417
4503603929115233,0,0,0,0,1,1,0,20200327,20200328
4503603929118612,1,1,1,1,1,0,1,20200329,20200417
4503603929123877,1,1,1,1,1,1,0,20200327,20200417
4503603929123886,0,0,0,0,0,1,0,20200328,20200411
4503603929127582,1,1,1,1,1,1,1,20200327,20200417
4503603929127646,0,0,0,0,1,1,1,20200327,20200329
4503603929127651,1,1,1,1,1,1,1,20200328,20200417
4503603929127713,1,1,1,1,1,0,0,20200327,20200417
4503603929127721,0,0,0,0,0,1,1,20200328,20200329
4503603929139716,1,1,1,1,1,1,1,20200329,20200417
4503603929194781,0,0,0,0,0,0,1,20200329,20200329
4503603929215048,1,1,1,1,1,1,0,20200327,20200417
4503603929215617,1,1,1,1,1,0,0,20200330,20200417
4503603929215618,1,1,1,1,1,1,1,20200330,20200417
4503603929215662,1,1,1,1,1,1,0,20200330,20200417
4503603929215723,0,0,0,0,0,0,1,20200405,20200413
4503603929215896,0,0,0,0,0,1,0,20200404,20200411
