service_id,date,exception_type
4503603929112901,20200413,2
4503603929112954,20200404,2
4503603929112954,20200411,2
4503603929112954,20200413,2
4503603929115187,20200404,2
4503603929115187,20200411,2
4503603929115187,20200413,2
4503603929118612,20200405,2
4503603929118612,20200412,2
4503603929118612,20200413,2
4503603929123877,20200413,2
4503603929127713,20200404,1
4503603929127713,20200405,1
4503603929127713,20200411,1
4503603929127713,20200412,1
4503603929215048,20200405,1
4503603929215048,20200412,1
4503603929215617,20200413,2
4503603929215662,20200413,2
4503603929215723,20200413,1
